,joint_feature,weight,s_feature,s_weight
0,# utterances (participant),0.3064764453941205,# utterances (participant),0.0612952890788241
1,# tokens (participant),0.43250790564375946,# tokens (participant),0.08650158112875189
2,# unique tokens (participant),-0.41537144686213995,# unique tokens (participant),-0.08307428937242799
3,# unique lemmas (participant),0.16417504618673134,# unique lemmas (participant),0.032835009237346266
4,# ADJ (participant),0.4255654800905715,# ADJ (participant),0.0851130960181143
5,# ADP (participant),0.048931745886387636,# ADP (participant),0.009786349177277527
6,# ADV (participant),0.2024264096885778,# ADV (participant),0.04048528193771556
7,# AUX (participant),0.5829356127441614,# AUX (participant),0.11658712254883227
8,# CCONJ (participant),0.00853894554681452,# CCONJ (participant),0.001707789109362904
9,# DET (participant),0.050756946452496655,# DET (participant),0.010151389290499331
10,# INTJ (participant),0.38024310843629383,# INTJ (participant),0.07604862168725876
11,# NOUN (participant),-0.21418243884693206,# NOUN (participant),-0.04283648776938641
12,# NUM (participant),-0.024449955394520044,# NUM (participant),-0.004889991078904009
13,# PART (participant),0.6093666999530909,# PART (participant),0.12187333999061818
14,# PRON (participant),-0.39098174108129563,# PRON (participant),-0.07819634821625912
15,# PROPN (participant),-0.11279268637071278,# PROPN (participant),-0.022558537274142556
16,# PUNCT (participant),-0.2890923844034319,# PUNCT (participant),-0.05781847688068638
17,# SCONJ (participant),-0.320609475566638,# SCONJ (participant),-0.0641218951133276
18,# VERB (participant),-0.2509278389717674,# VERB (participant),-0.05018556779435348
19,# named entities (participant),0.43880549989127954,# named entities (participant),0.0877610999782559
20,# unique named entities (participant),-0.6438179053388169,# unique named entities (participant),-0.12876358106776337
21,# CARDINAL (participant),-0.013362000062277673,# CARDINAL (participant),-0.0026724000124555346
22,TTR (participant),0.3602332259040623,TTR (participant),0.07204664518081247
23,MSTTR (participant),0.3539807617514132,MSTTR (participant),0.07079615235028264
24,MATTR (participant),-0.5139442371287835,MATTR (participant),-0.1027888474257567
25,Maas (participant),0.4999782171294481,Maas (participant),0.09999564342588962
26,MTLD (participant),0.509849248193265,MTLD (participant),0.101969849638653
27,HD-D (participant),-0.18929433653608815,HD-D (participant),-0.03785886730721763
28,SUBTLscore (participant),-0.6504396130928194,SUBTLscore (participant),-0.1300879226185639
29,tree_height (participant),0.09045197936523526,tree_height (participant),0.018090395873047053
30,NP_to_PRP (participant),0.7502782864402977,NP_to_PRP (participant),0.15005565728805953
31,NP_to_DT_NN (participant),-0.4652331075541065,NP_to_DT_NN (participant),-0.0930466215108213
32,VP_to_VBG (participant),-0.28254517952762803,VP_to_VBG (participant),-0.056509035905525605
33,INTJ_to_UH (participant),-0.16538431711526716,INTJ_to_UH (participant),-0.03307686342305343
34,ROOT_to_FRAG (participant),0.0470959333773552,ROOT_to_FRAG (participant),0.00941918667547104
35,VP_to_AUX_VP (participant),-0.3030163980050343,VP_to_AUX_VP (participant),-0.060603279601006865
36,VP_to_AUX_ADJP (participant),-0.2859698337074056,VP_to_AUX_ADJP (participant),-0.05719396674148112
37,VP_to_AUX (participant),-0.37109267956198444,VP_to_AUX (participant),-0.07421853591239688
38,BrunetIndex,0.6882802831876653,BrunetIndex,0.13765605663753305
39,HonoreStatistic,-0.1283948095764278,HonoreStatistic,-0.02567896191528556
40,MeanWordLength,-0.4979128529974628,MeanWordLength,-0.09958257059949256
41,DisfluencyFrequency,-0.2974281830549715,DisfluencyFrequency,-0.0594856366109943
42,RatioNoun,-0.06459605631827627,RatioNoun,-0.012919211263655254
43,RatioVerb,-0.10615245315299018,RatioVerb,-0.021230490630598037
44,RatioPronoun,-0.049342031046088496,RatioPronoun,-0.009868406209217698
45,RatioCoordinate,0.31220897531236025,RatioCoordinate,0.06244179506247205
46,NPTypeRate,-0.25618666878216845,NPTypeRate,-0.05123733375643369
47,VPTypeRate,0.17018941619738906,VPTypeRate,0.03403788323947781
48,PPTypeRate,-0.17863242247690064,PPTypeRate,-0.03572648449538013
49,PProportion,0.31590600221075366,PProportion,0.06318120044215073
50,NPProportion,0.11853715444994861,NPProportion,0.023707430889989722
51,VPProportion,0.20543038332417812,VPProportion,0.04108607666483562
52,AvgNPTypeLengthEmbedded,0.4944645485262635,AvgNPTypeLengthEmbedded,0.09889290970525269
53,AvgVPTypeLengthEmbedded,0.4743059942232823,AvgVPTypeLengthEmbedded,0.09486119884465646
54,AvgPPTypeLengthEmbedded,-0.345327247463454,AvgPPTypeLengthEmbedded,-0.0690654494926908
55,AvgPPTypeLengthNonEmbedded,-0.30303910133430106,AvgPPTypeLengthNonEmbedded,-0.060607820266860214
56,AvgNPTypeLengthNonEmbedded,-0.26094544905255235,AvgNPTypeLengthNonEmbedded,-0.05218908981051047
57,AvgVPTypeLengthNonEmbedded,-0.3118959055223092,AvgVPTypeLengthNonEmbedded,-0.06237918110446185
58,avg_cos_dist,0.2253205213802681,avg_cos_dist,0.04506410427605362
59,proportion_below_threshold_0,-0.22245715021568674,proportion_below_threshold_0,-0.044491430043137346
60,proportion_below_threshold_0.3,-0.1145688942424766,proportion_below_threshold_0.3,-0.02291377884849532
61,proportion_below_threshold_0.5,0.28403726133629437,proportion_below_threshold_0.5,0.056807452267258876
