,joint_feature,weight
0,# utterances (participant),0.004771037901341313
1,# tokens (participant),0.47470223668334927
2,# unique tokens (participant),-0.5336671524279183
3,# unique lemmas (participant),-0.07676145607649229
4,# ADJ (participant),0.21107464866173511
5,# ADP (participant),0.1461053252581613
6,# ADV (participant),0.23855205999570414
7,# AUX (participant),0.2895178534046923
8,# CCONJ (participant),0.025494362712485952
9,# DET (participant),0.1875448926669238
10,# INTJ (participant),0.41104121513908753
11,# NOUN (participant),-0.0005082394254876555
12,# NUM (participant),-0.0726802393699646
13,# PART (participant),0.5519828415840365
14,# PRON (participant),-0.06466937522790124
15,# PROPN (participant),-0.04719999816735367
16,# PUNCT (participant),-0.2388771340252635
17,# SCONJ (participant),-0.22496597664444784
18,# VERB (participant),-0.1154771278695316
19,# named entities (participant),0.3554343280885446
20,# unique named entities (participant),-0.4610885705184953
21,# CARDINAL (participant),0.03573382957528672
22,TTR (participant),-0.08781004076122993
23,MSTTR (participant),0.33474564812552277
24,MATTR (participant),-0.43485867070450646
25,Maas (participant),0.1215367817937159
26,MTLD (participant),0.4088675155489968
27,HD-D (participant),-0.19797171482594078
28,SUBTLscore (participant),-0.5224705708589206
29,tree_height (participant),0.2864871411084305
30,NP_to_PRP (participant),0.2634709369110445
31,NP_to_DT_NN (participant),-0.4153932782948636
32,VP_to_VBG (participant),-0.19931673063899305
33,INTJ_to_UH (participant),-0.05128214661184978
34,ROOT_to_FRAG (participant),-0.00368503731244898
35,VP_to_AUX_VP (participant),-0.14691211733264115
36,VP_to_AUX_ADJP (participant),-0.20684921476352383
37,VP_to_AUX (participant),-0.154761246562875
38,BrunetIndex,0.5802805388728575
39,HonoreStatistic,-0.11090479255254311
40,MeanWordLength,-0.6065584288089877
41,DisfluencyFrequency,-0.37026716378547364
42,RatioNoun,-0.21344826747829554
43,RatioVerb,0.29981904710768464
44,RatioPronoun,0.00015450817969586694
45,RatioCoordinate,0.19191260221645728
46,NPTypeRate,-0.07340705235619858
47,VPTypeRate,0.11156156611067244
48,PPTypeRate,-0.12125260735590851
49,PProportion,-0.0036586674536687237
50,NPProportion,-0.04337733625490582
51,VPProportion,0.06783813746952833
52,AvgNPTypeLengthEmbedded,0.5100623160325943
53,AvgVPTypeLengthEmbedded,0.46615643932261575
54,AvgPPTypeLengthEmbedded,-0.07092534971231636
55,AvgPPTypeLengthNonEmbedded,-0.23553283906714695
56,AvgNPTypeLengthNonEmbedded,-0.07618993546274748
57,AvgVPTypeLengthNonEmbedded,-0.2024809607549137
58,avg_cos_dist,0.18248839456721158
59,proportion_below_threshold_0,-0.23203426400833
60,proportion_below_threshold_0.3,0.02009464883548084
61,proportion_below_threshold_0.5,0.2930536013637989
62,Vrate,-0.3278682892894844
63,avgdurvoiced,-0.5154190588667291
64,stddurvoiced,0.8714867214088399
65,skwdurvoiced,-0.0021266379952814994
66,kurtosisdurvoiced,0.3298667917405992
67,maxdurvoiced,-0.6537807744321494
68,mindurvoiced,-0.018005333586026972
69,avgdurunvoiced,0.4857275609280961
70,stddurunvoiced,0.38973119017529917
71,skwdurunvoiced,0.10223883809026843
72,kurtosisdurunvoiced,0.10448458112013341
73,maxdurunvoiced,-0.1652572929805866
74,mindurunvoiced,0.01714987072398406
75,avgdurpause,0.37342715735227316
76,stddurpause,-0.3235575822196021
77,skwdurpause,0.17735822233888493
78,kurtosisdurpause,-0.12825368502371765
79,maxdurpause,0.16736287448003584
80,mindurpause,-0.27343233932881156
81,PVU,-0.23327201179257417
82,PU,0.2680943579761125
83,UVU,0.1210329795812775
84,VVU,-0.2636762685695525
85,VP,-0.0340505157650516
86,UP,0.4616540788805688
