,s_feature,weight,p
1,# tokens (participant),0.899373686,
64,stddurvoiced,0.813228276,
43,RatioVerb,0.741707793,
14,# PRON (participant),0.584464939,
16,# PUNCT (participant),0.508631819,
53,AvgVPTypeLengthEmbedded,0.459453969,
10,# INTJ (participant),0.425513593,
75,avgdurpause,0.401213469,
82,PU,0.364030267,
6,# ADV (participant),0.313484158,
66,kurtosisdurvoiced,0.302425262,
30,NP_to_PRP (participant),0.302324809,
3,# unique lemmas (participant),0.297584124,
19,# named entities (participant),0.296150339,
37,VP_to_AUX (participant),0.281161253,
84,VVU,0.259086867,
22,TTR (participant),0.241456015,
79,maxdurpause,0.238998099,
54,AvgPPTypeLengthEmbedded,0.235557779,
9,# DET (participant),0.220084155,
70,stddurunvoiced,0.219217023,
8,# CCONJ (participant),0.217813759,
58,avg_cos_dist,0.205673893,
71,skwdurunvoiced,0.181518195,
17,# SCONJ (participant),0.169483919,
51,VPProportion,0.148332891,
59,proportion_below_threshold_0,0.146873973,
69,avgdurunvoiced,0.144551899,
18,# VERB (participant),0.11437245,
72,kurtosisdurunvoiced,0.113257259,
63,avgdurvoiced,0.104574787,
52,AvgNPTypeLengthEmbedded,0.07856678,
39,HonoreStatistic,0.078171491,
77,skwdurpause,0.070226488,
49,PProportion,0.062232848,
46,NPTypeRate,0.05581339,
34,ROOT_to_FRAG (participant),0.055030813,
85,VP,0.037347187,
25,Maas (participant),0.021677719,
21,# CARDINAL (participant),0.020404261,
29,tree_height (participant),0.011143386,
33,INTJ_to_UH (participant),0.008946117,
57,AvgVPTypeLengthNonEmbedded,-0.00482154,
73,maxdurunvoiced,-0.010044947,
11,# NOUN (participant),-0.011461074,
4,# ADJ (participant),-0.02183606,
35,VP_to_AUX_VP (participant),-0.0294491,
15,# PROPN (participant),-0.029752828,
5,# ADP (participant),-0.045586219,
62,Vrate,-0.046132193,
44,RatioPronoun,-0.047513357,
74,mindurunvoiced,-0.04822847,
81,PVU,-0.050681069,
50,NPProportion,-0.054792864,
12,# NUM (participant),-0.075443295,
56,AvgNPTypeLengthNonEmbedded,-0.085476423,
61,proportion_below_threshold_0.5,-0.088467547,
28,SUBTLscore (participant),-0.090444535,
60,proportion_below_threshold_0.3,-0.095358163,
27,HD-D (participant),-0.095921766,
68,mindurvoiced,-0.096223521,
42,RatioNoun,-0.110968622,
48,PPTypeRate,-0.128740451,
23,MSTTR (participant),-0.13696748,
26,MTLD (participant),-0.138447407,
24,MATTR (participant),-0.139600402,
31,NP_to_DT_NN (participant),-0.159229236,
32,VP_to_VBG (participant),-0.170815531,
36,VP_to_AUX_ADJP (participant),-0.17847639,
45,RatioCoordinate,-0.210210124,
65,skwdurvoiced,-0.213658044,
55,AvgPPTypeLengthNonEmbedded,-0.241651765,
47,VPTypeRate,-0.284655845,
0,# utterances (participant),-0.286236984,
80,mindurpause,-0.299530313,
38,BrunetIndex,-0.318283377,
13,# PART (participant),-0.32044206,
78,kurtosisdurpause,-0.347909384,
40,MeanWordLength,-0.366136912,
20,# unique named entities (participant),-0.405851364,
7,# AUX (participant),-0.421220148,
76,stddurpause,-0.469908874,
86,UP,-0.535117172,
41,DisfluencyFrequency,-0.576001706,
67,maxdurvoiced,-0.599677343,
83,UVU,-0.643517297,
2,# unique tokens (participant),-1.202603404,
