,Unnamed: 0,joint_feature,weight,pvalue
64,64,stddurvoiced,0.861673209,0.00277907
86,86,UP,0.720048799,0.774878079
13,13,# PART (participant),0.653017573,0.118630997
52,52,AvgNPTypeLengthEmbedded,0.643838176,9.91E-15
38,38,BrunetIndex,0.638780884,2.66E-13
69,69,avgdurunvoiced,0.566961991,0.156965464
26,26,MTLD (participant),0.556400878,0.889002404
1,1,# tokens (participant),0.432339511,8.87E-06
30,30,NP_to_PRP (participant),0.428533477,0.697940184
10,10,# INTJ (participant),0.418887966,6.85E-07
53,53,AvgVPTypeLengthEmbedded,0.366744159,3.56E-15
70,70,stddurunvoiced,0.356235315,0.012970944
75,75,avgdurpause,0.355790715,0.03851609
7,7,# AUX (participant),0.348908517,0.000273792
45,45,RatioCoordinate,0.341862719,0.000556485
19,19,# named entities (participant),0.338158274,0.000146733
23,23,MSTTR (participant),0.294131378,0.146434607
65,65,skwdurvoiced,0.270464171,0.001028378
51,51,VPProportion,0.255595571,1.54E-08
61,61,proportion_below_threshold_0.5,0.249105965,0.001770704
29,29,tree_height (participant),0.24371607,2.60E-09
83,83,UVU,0.233286652,1.74E-05
43,43,RatioVerb,0.217370198,1.49E-07
4,4,# ADJ (participant),0.213783155,0.256022959
66,66,kurtosisdurvoiced,0.20735045,0.006841323
77,77,skwdurpause,0.198475817,0.001234749
5,5,# ADP (participant),0.168219558,4.01E-11
6,6,# ADV (participant),0.1663914,0.363246942
82,82,PU,0.159774067,0.020087781
9,9,# DET (participant),0.132734898,3.58E-13
25,25,Maas (participant),0.118515681,0.025749611
79,79,maxdurpause,0.104853362,0.000459678
71,71,skwdurunvoiced,0.10377589,0.675213186
47,47,VPTypeRate,0.091235336,0.859906738
72,72,kurtosisdurunvoiced,0.058399252,0.006397869
58,58,avg_cos_dist,0.050437187,0.406474568
68,68,mindurvoiced,-0.007660392,0.261162194
21,21,# CARDINAL (participant),-0.012883665,0.449697823
12,12,# NUM (participant),-0.016586744,0.001719663
49,49,PProportion,-0.018078373,8.85E-13
15,15,# PROPN (participant),-0.033046587,0.037662197
46,46,NPTypeRate,-0.034935127,0.000103554
34,34,ROOT_to_FRAG (participant),-0.037242877,8.40E-06
3,3,# unique lemmas (participant),-0.040487526,0.00064045
0,0,# utterances (participant),-0.042084493,8.09E-08
50,50,NPProportion,-0.042280997,3.78E-08
74,74,mindurunvoiced,-0.045398529,0.398857465
60,60,proportion_below_threshold_0.3,-0.060360521,0.004222294
85,85,VP,-0.093837483,0.02597176
8,8,# CCONJ (participant),-0.108672645,0.003217254
78,78,kurtosisdurpause,-0.119253219,0.009205508
39,39,HonoreStatistic,-0.135049043,2.43E-10
54,54,AvgPPTypeLengthEmbedded,-0.141330611,1.08E-16
35,35,VP_to_AUX_VP (participant),-0.144857644,0.670962242
55,55,AvgPPTypeLengthNonEmbedded,-0.146537749,1.67E-13
44,44,RatioPronoun,-0.150344447,0.133576106
80,80,mindurpause,-0.152645356,0.201852709
11,11,# NOUN (participant),-0.16111628,5.61E-12
48,48,PPTypeRate,-0.164148385,1.19E-10
33,33,INTJ_to_UH (participant),-0.179247442,3.06E-08
56,56,AvgNPTypeLengthNonEmbedded,-0.183242788,4.20E-11
36,36,VP_to_AUX_ADJP (participant),-0.184242492,0.742785577
76,76,stddurpause,-0.19808608,0.011423747
27,27,HD-D (participant),-0.214778688,0.065971728
42,42,RatioNoun,-0.22285807,8.31E-08
32,32,VP_to_VBG (participant),-0.224177035,0.000122168
18,18,# VERB (participant),-0.231671456,1.04E-05
14,14,# PRON (participant),-0.255253965,0.023013864
81,81,PVU,-0.280206622,0.011277378
17,17,# SCONJ (participant),-0.283203977,7.41E-05
41,41,DisfluencyFrequency,-0.304786009,6.29E-06
59,59,proportion_below_threshold_0,-0.317648853,0.007987305
16,16,# PUNCT (participant),-0.322721275,0.000398388
73,73,maxdurunvoiced,-0.322798233,0.624860371
22,22,TTR (participant),-0.332867473,0.002994135
84,84,VVU,-0.360057186,0.159888838
24,24,MATTR (participant),-0.377173552,0.141875058
37,37,VP_to_AUX (participant),-0.377743136,0.288594107
57,57,AvgVPTypeLengthNonEmbedded,-0.406570086,3.02E-12
63,63,avgdurvoiced,-0.44422019,8.91E-05
31,31,NP_to_DT_NN (participant),-0.507566344,1.61E-13
28,28,SUBTLscore (participant),-0.51853197,0.271080384
62,62,Vrate,-0.542847879,0.003499673
20,20,# unique named entities (participant),-0.54454989,3.52E-07
2,2,# unique tokens (participant),-0.544613738,0.00095981
40,40,MeanWordLength,-0.610958092,4.06E-06
67,67,maxdurvoiced,-0.730201945,0.769717413
