,true,pred
0,0,1
1,1,1
2,1,1
3,0,1
4,0,1
5,1,1
6,0,1
7,0,1
8,0,1
9,0,1
10,0,1
11,0,1
12,1,1
13,0,1
14,0,1
15,0,1
16,1,1
17,1,1
18,0,1
19,0,1
20,1,1
21,0,1
22,0,1
23,0,1
24,0,1
25,0,1
26,1,1
27,0,1
28,0,1
29,0,1
30,1,1
31,1,1
32,1,1
33,1,1
34,0,1
35,0,1
36,1,1
37,0,1
38,0,1
39,1,1
40,0,1
41,0,1
42,1,1
43,0,1
44,0,1
45,0,1
46,1,1
47,0,1
48,1,1
49,0,1
50,0,1
51,1,1
52,0,1
53,0,1
54,1,1
55,1,1
56,0,1
57,1,1
58,0,1
59,0,1
60,0,1
61,0,1
62,0,1
63,0,1
64,1,1
65,0,1
66,1,1
67,0,1
68,0,1
69,1,1
70,1,1
71,0,1
72,0,1
73,1,1
74,0,1
75,0,1
76,0,1
77,0,1
78,0,1
79,0,1
80,1,1
81,1,1
82,0,1
83,0,1
84,1,1
85,0,1
86,0,1
87,1,1
88,0,1
89,0,1
90,0,1
91,0,1
92,1,1
93,0,1
94,1,1
95,1,1
96,1,1
97,0,1
98,0,1
99,0,1
100,1,1
101,1,1
102,0,1
103,1,1
104,1,1
105,0,1
106,0,1
107,0,1
108,0,1
109,0,1
110,1,1
111,1,1
112,0,1
113,0,1
114,1,1
115,0,1
116,0,1
117,1,1
118,0,1
119,0,1
120,1,1
121,0,1
122,0,1
123,0,1
124,1,1
125,1,1
126,1,1
127,0,1
128,0,1
129,0,1
130,1,1
131,1,1
132,1,1
133,1,1
134,0,1
135,0,1
136,0,1
137,0,1
138,1,1
139,1,1
140,0,1
141,1,1
142,0,1
143,1,1
144,0,1
145,1,1
146,0,1
147,0,1
148,0,1
149,0,1
150,0,1
151,1,1
152,0,1
153,0,1
154,0,1
155,1,1
156,0,1
157,0,1
158,0,1
159,0,1
160,1,1
161,0,1
162,0,1
163,0,1
164,1,1
165,0,1
166,0,1
167,0,1
168,0,1
169,1,1
170,0,1
171,1,1
172,0,1
173,1,1
174,0,1
175,0,1
176,0,1
177,0,1
178,0,1
179,0,1
180,0,1
181,0,1
182,0,1
183,0,1
184,0,1
185,0,1
186,1,1
187,1,1
188,0,1
189,0,1
190,0,1
191,0,1
192,1,1
193,1,1
194,1,1
195,1,1
196,0,1
197,0,1
198,1,1
199,1,1
200,0,1
201,0,1
202,0,1
203,0,1
204,0,1
205,0,1
206,0,1
207,0,1
208,0,1
209,1,1
210,1,1
211,0,1
212,1,1
213,1,1
214,0,1
215,1,1
216,0,1
217,1,1
218,0,1
219,0,1
220,1,1
221,1,1
222,0,1
223,0,1
224,0,1
225,0,1
226,0,1
227,0,1
228,0,1
229,1,1
230,1,1
231,0,1
232,1,1
233,0,1
234,0,1
235,0,1
236,0,1
237,1,1
238,0,1
239,0,1
240,0,1
241,0,1
242,1,1
243,0,1
244,0,1
245,1,1
246,1,1
247,0,1
248,0,1
249,0,1
250,1,1
251,0,1
252,0,1
253,0,1
254,0,1
255,0,1
256,0,1
257,0,1
258,1,1
259,1,1
260,1,1
261,0,1
262,0,1
263,0,1
264,1,1
265,0,1
266,0,1
267,0,1
268,1,1
269,1,1
270,1,1
271,0,1
272,0,1
273,0,1
274,1,1
275,1,1
276,1,1
277,0,1
278,1,1
279,0,1
280,0,1
281,0,1
282,0,1
283,0,1
284,0,1
285,0,1
286,1,1
287,1,1
288,1,1
289,0,1
290,1,1
291,1,1
292,0,1
293,0,1
294,0,1
295,0,1
296,0,1
297,0,1
298,0,1
299,0,1
