,true,pred
0,0,1
1,1,0
2,1,1
3,0,1
4,0,1
5,1,1
6,0,0
7,0,1
8,0,1
9,0,1
10,0,1
11,0,1
12,1,0
13,0,1
14,0,1
15,0,1
16,1,1
17,1,1
18,0,1
19,0,1
20,1,1
21,0,1
22,0,1
23,0,1
24,0,1
25,0,1
26,1,1
27,0,1
28,0,1
29,0,1
30,1,1
31,1,1
32,1,1
33,1,1
34,0,1
35,0,1
36,1,1
37,0,1
38,0,1
39,1,1
40,0,1
41,0,1
42,1,1
43,0,1
44,0,1
45,0,1
46,1,1
47,0,1
48,1,1
49,0,0
50,0,1
51,1,1
52,0,1
53,0,1
54,1,1
55,1,1
56,0,1
57,1,1
58,0,1
59,0,1
60,0,1
61,0,1
62,0,1
63,0,0
64,1,1
65,0,1
66,1,1
67,0,1
68,0,1
69,1,1
70,1,1
71,0,1
72,0,1
73,1,1
74,0,1
75,0,1
76,0,1
77,0,0
78,0,0
79,0,1
80,1,1
81,1,0
82,0,1
83,0,1
84,1,1
85,0,1
86,0,1
87,1,1
88,0,1
89,0,1
90,0,1
91,0,1
92,1,1
93,0,1
94,1,0
95,1,0
96,1,0
97,0,1
98,0,1
99,0,1
100,1,1
101,1,1
102,0,1
103,1,0
104,1,1
105,0,1
106,0,1
107,0,1
108,0,0
109,0,0
110,1,1
111,1,1
112,0,0
113,0,1
114,1,1
115,0,1
116,0,1
117,1,1
118,0,1
119,0,1
120,1,1
121,0,0
122,0,0
123,0,0
124,1,0
125,1,0
126,1,0
127,0,1
128,0,0
129,0,1
130,1,0
131,1,0
132,1,0
133,1,1
134,0,1
135,0,1
136,0,1
137,0,1
138,1,0
139,1,1
140,0,0
141,1,0
142,0,0
143,1,0
144,0,0
145,1,1
146,0,0
147,0,1
148,0,0
149,0,1
150,0,1
151,1,0
152,0,1
153,0,1
154,0,1
155,1,0
156,0,0
157,0,1
158,0,1
159,0,1
160,1,0
161,0,1
162,0,1
163,0,1
164,1,0
165,0,0
166,0,1
167,0,1
168,0,0
169,1,0
170,0,0
171,1,1
172,0,0
173,1,0
174,0,1
175,0,0
176,0,1
177,0,1
178,0,0
179,0,0
180,0,1
181,0,0
182,0,0
183,0,0
184,0,1
185,0,0
186,1,0
187,1,1
188,0,1
189,0,0
190,0,1
191,0,1
192,1,1
193,1,0
194,1,1
195,1,1
196,0,1
197,0,0
198,1,1
199,1,1
200,0,1
201,0,1
202,0,0
203,0,0
204,0,1
205,0,0
206,0,1
207,0,0
208,0,1
209,1,1
210,1,1
211,0,1
212,1,1
213,1,1
214,0,0
215,1,1
216,0,0
217,1,1
218,0,0
219,0,0
220,1,0
221,1,1
222,0,0
223,0,0
224,0,0
225,0,1
226,0,0
227,0,1
228,0,0
229,1,1
230,1,1
231,0,0
232,1,1
233,0,0
234,0,1
235,0,0
236,0,1
237,1,1
238,0,0
239,0,1
240,0,1
241,0,1
242,1,1
243,0,1
244,0,1
245,1,1
246,1,1
247,0,1
248,0,1
249,0,1
250,1,1
251,0,1
252,0,1
253,0,0
254,0,0
255,0,1
256,0,1
257,0,1
258,1,1
259,1,1
260,1,1
261,0,1
262,0,1
263,0,1
264,1,1
265,0,1
266,0,1
267,0,1
268,1,1
269,1,1
270,1,1
271,0,1
272,0,1
273,0,1
274,1,1
275,1,1
276,1,1
277,0,1
278,1,1
279,0,1
280,0,1
281,0,1
282,0,1
283,0,1
284,0,1
285,0,0
286,1,1
287,1,1
288,1,1
289,0,1
290,1,1
291,1,0
292,0,1
293,0,0
294,0,1
295,0,1
296,0,0
297,0,1
298,0,1
299,0,1
