,true,pred
0,0,1
1,0,0
2,0,0
3,0,0
4,0,0
5,1,1
6,1,1
7,1,1
8,1,0
9,1,1
10,0,1
11,0,0
12,1,1
13,0,0
14,0,1
15,1,1
16,0,0
17,0,0
18,1,1
19,1,1
20,0,0
21,0,0
22,1,0
23,1,1
24,1,1
25,1,1
26,1,0
27,0,0
28,1,1
29,1,1
30,0,0
31,1,1
32,1,1
33,1,1
34,1,1
35,1,1
36,0,1
37,0,1
38,1,0
39,1,0
40,0,0
41,0,1
42,0,0
43,1,0
44,1,1
45,0,0
46,1,0
47,1,1
48,1,1
49,1,0
50,1,1
51,0,0
52,0,1
53,0,0
54,1,1
55,1,1
56,1,1
57,0,0
58,0,1
59,0,0
60,1,1
61,0,0
62,1,0
63,1,0
64,1,0
65,1,1
66,0,0
67,0,1
68,0,0
69,1,1
70,0,0
71,0,1
72,0,0
73,1,1
74,0,0
75,1,1
76,0,1
77,1,0
78,0,0
79,0,0
80,1,0
81,0,0
82,1,0
83,1,1
84,1,0
85,0,0
86,1,1
87,0,0
88,1,1
89,1,1
90,0,0
91,1,1
92,1,0
93,1,1
94,1,0
95,0,0
96,1,1
97,1,1
98,0,0
99,0,1
100,1,1
101,0,1
102,1,0
103,0,1
104,1,0
105,1,1
106,1,1
107,0,1
108,1,1
109,0,0
110,1,0
111,1,1
112,0,1
113,1,0
114,1,0
115,1,1
116,1,0
117,1,1
118,1,0
119,1,1
120,1,1
121,1,1
122,1,1
123,0,0
124,0,0
125,0,1
126,0,0
127,0,0
128,1,1
129,1,1
130,0,1
131,1,1
132,0,1
133,0,0
134,0,1
135,1,1
136,0,1
137,1,0
138,1,0
139,1,1
140,1,1
141,0,1
142,1,1
143,1,1
144,1,1
145,1,0
146,0,0
147,1,1
148,0,1
149,1,0
150,1,0
151,1,1
152,0,1
153,0,0
154,0,0
155,1,0
156,0,1
157,0,1
158,0,0
159,1,0
160,1,1
161,0,0
162,1,0
163,1,1
164,0,0
165,1,0
166,1,1
167,0,0
168,0,0
169,0,1
170,1,0
171,0,0
172,1,1
173,0,0
174,0,0
175,1,0
176,0,1
177,0,0
178,0,0
179,1,1
180,1,0
181,1,1
182,1,1
183,0,0
184,1,1
185,1,0
186,0,0
187,1,1
188,0,1
189,0,1
190,1,1
191,1,0
192,1,1
193,0,1
194,0,0
195,1,1
196,1,1
197,1,0
198,0,0
199,1,0
200,1,1
201,0,0
202,1,1
203,0,0
204,1,1
205,0,1
206,0,0
207,0,1
208,1,1
209,0,1
210,0,1
211,1,1
212,1,1
213,0,0
214,1,0
215,0,0
216,0,1
217,1,0
218,0,0
219,1,1
220,1,1
221,1,1
222,0,0
223,0,0
224,0,0
225,1,0
226,0,1
227,0,1
228,0,0
229,1,0
230,0,0
231,1,1
232,0,0
233,0,1
234,1,0
235,0,0
236,1,1
237,0,0
238,0,1
239,1,1
240,0,0
241,1,1
242,0,1
243,0,1
244,0,0
245,1,1
246,0,0
247,1,1
248,1,1
249,1,0
250,0,1
251,1,1
252,1,1
253,1,1
254,0,1
255,1,1
256,1,1
257,0,0
258,0,1
259,1,1
260,1,0
261,1,0
262,1,0
263,1,0
264,1,1
265,1,1
266,1,0
267,0,0
268,1,0
269,1,0
270,1,1
271,1,0
272,0,0
273,0,0
274,1,1
275,1,1
276,0,0
277,1,1
278,1,1
279,0,0
280,0,1
281,1,0
282,1,1
