,true,pred
0,0,0
1,1,1
2,0,0
3,0,0
4,1,0
5,0,0
6,0,0
7,1,0
8,1,1
9,0,0
10,0,0
11,1,0
12,1,0
13,1,1
14,1,0
15,0,0
16,0,0
17,0,0
18,0,0
19,1,1
20,1,1
21,1,0
22,1,1
23,1,1
24,1,0
25,1,1
26,0,0
27,1,1
28,1,1
29,0,0
30,1,0
31,1,1
32,0,0
33,0,0
34,0,0
35,0,0
36,0,0
37,1,1
38,0,0
39,1,1
40,0,0
41,1,1
42,0,0
43,0,0
44,1,0
45,0,0
46,0,0
47,1,1
48,0,0
49,1,1
50,0,0
51,1,0
52,0,0
53,0,1
54,0,0
55,0,0
56,1,1
57,1,1
58,0,0
59,0,0
60,1,1
61,1,1
62,1,1
63,1,1
64,0,0
65,1,1
66,0,0
67,0,0
68,1,0
69,1,1
70,1,1
71,0,0
72,0,1
73,0,0
74,1,0
75,1,1
76,1,0
77,0,0
78,1,1
79,0,1
80,1,1
81,1,1
82,0,0
83,0,0
84,1,1
85,0,0
86,1,1
87,0,0
88,0,0
89,1,0
90,0,0
91,0,0
92,1,0
93,0,1
94,0,0
95,1,1
96,1,0
97,1,1
98,0,0
99,0,1
100,1,0
101,1,1
102,1,1
103,0,1
104,0,0
105,1,0
106,1,1
107,0,1
