,true,pred
0,0,0
1,1,1
2,1,1
3,0,0
4,0,0
5,1,1
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,1,1
13,0,0
14,0,0
15,0,0
16,1,0
17,1,0
18,0,0
19,0,0
20,1,1
21,0,0
22,0,0
23,0,0
24,0,0
25,0,0
26,1,0
27,0,0
28,0,0
29,0,0
30,1,0
31,1,1
32,1,0
33,1,1
34,0,0
35,0,0
36,1,1
37,0,0
38,0,0
39,1,0
40,0,0
41,0,0
42,1,0
43,0,0
44,0,0
45,0,0
46,1,1
47,0,0
48,1,0
49,0,0
50,0,0
51,1,1
52,0,0
53,0,0
54,1,1
55,1,1
56,0,0
57,1,1
58,0,0
59,0,0
60,0,1
61,0,0
62,0,0
63,0,1
64,1,1
65,0,0
66,1,1
67,0,0
68,0,0
69,1,1
70,1,0
71,0,1
72,0,0
73,1,1
74,0,0
75,0,0
76,0,0
77,0,0
78,0,0
79,0,0
80,1,0
81,1,1
82,0,0
83,0,0
84,1,0
85,0,0
86,0,0
87,1,1
88,0,0
89,0,0
90,0,0
91,0,0
92,1,0
93,0,0
94,1,1
95,1,1
96,1,1
97,0,1
98,0,0
99,0,0
100,1,1
101,1,1
102,0,0
103,1,0
104,1,1
105,0,0
106,0,1
107,0,0
108,0,0
109,0,0
110,1,1
111,1,1
112,0,0
113,0,0
114,1,1
115,0,0
116,0,0
117,1,1
118,0,0
119,0,0
120,1,1
121,0,0
122,0,0
123,0,1
124,1,1
125,1,1
126,1,0
127,0,0
128,0,1
129,0,0
130,1,0
131,1,0
132,1,0
133,1,1
134,0,0
135,0,0
136,0,0
137,0,0
138,1,0
139,1,1
140,0,0
141,1,0
142,0,0
143,1,1
144,0,0
145,1,1
146,0,0
147,0,0
148,0,0
149,0,0
150,0,0
151,1,0
152,0,0
153,0,0
154,0,0
155,1,1
156,0,0
157,0,0
158,0,0
159,0,0
160,1,0
161,0,0
162,0,0
163,0,0
164,1,0
165,0,0
166,0,0
167,0,0
168,0,0
169,1,1
170,0,0
171,1,1
172,0,0
173,1,0
174,0,0
175,0,0
176,0,0
177,0,0
178,0,0
179,0,0
180,0,0
181,0,0
182,0,0
183,0,0
184,0,0
185,0,0
186,1,1
187,1,1
188,0,0
189,0,0
190,0,0
191,0,0
192,1,1
193,1,1
194,1,1
195,1,1
196,0,0
197,0,0
198,1,1
199,1,1
200,0,0
201,0,0
202,0,0
203,0,0
204,0,0
205,0,0
206,0,0
207,0,1
208,0,1
209,1,1
210,1,1
211,0,0
212,1,1
213,1,1
214,0,0
215,1,1
216,0,0
217,1,1
218,0,0
219,0,0
220,1,1
221,1,1
222,0,0
223,0,0
224,0,0
225,0,0
226,0,0
227,0,0
228,0,0
229,1,1
230,1,1
231,0,0
232,1,1
233,0,0
234,0,0
235,0,0
236,0,1
237,1,1
238,0,0
239,0,0
240,0,0
241,0,1
242,1,1
243,0,0
244,0,0
245,1,1
246,1,1
247,0,1
248,0,0
249,0,0
250,1,1
251,0,1
252,0,0
253,0,0
254,0,0
255,0,0
256,0,0
257,0,0
258,1,1
259,1,1
260,1,0
261,0,0
262,0,0
263,0,0
264,1,0
265,0,0
266,0,0
267,0,0
268,1,1
269,1,1
270,1,1
271,0,0
272,0,0
273,0,0
274,1,1
275,1,0
276,1,0
277,0,0
278,1,1
279,0,0
280,0,0
281,0,0
282,0,0
283,0,0
284,0,0
285,0,0
286,1,1
287,1,1
288,1,0
289,0,0
290,1,1
291,1,0
292,0,0
293,0,0
294,0,0
295,0,0
296,0,0
297,0,0
298,0,0
299,0,0
