,true,pred
0,0,0
1,0,1
2,1,0
3,0,0
4,1,1
5,1,0
6,1,1
7,1,1
8,1,1
9,0,1
10,0,1
11,1,1
12,0,0
13,1,1
14,1,1
15,0,0
16,0,0
17,1,1
18,0,0
19,0,0
20,0,0
21,1,0
22,1,1
23,0,0
24,0,1
25,1,0
26,1,0
27,0,1
28,0,1
29,1,1
30,1,1
31,1,1
32,1,0
33,1,1
34,1,0
35,0,0
36,0,0
37,1,1
38,1,0
39,1,1
40,0,0
41,0,1
42,1,1
43,0,0
44,1,0
45,1,0
46,1,1
47,1,0
48,0,0
49,0,1
50,1,1
51,0,1
52,0,0
53,1,0
54,0,1
55,0,0
56,1,1
57,0,1
58,1,0
59,0,0
60,0,1
61,0,1
62,1,0
63,1,1
64,0,1
65,0,0
66,0,0
67,1,1
68,1,0
69,1,0
70,1,1
71,1,1
72,1,1
73,1,1
74,0,0
75,1,1
76,1,0
77,0,0
78,1,0
79,0,0
80,0,0
81,0,1
82,0,1
83,1,0
84,0,0
85,1,1
86,0,1
87,1,1
88,1,0
89,1,1
90,1,0
91,0,1
92,0,1
93,1,1
94,0,0
95,1,0
96,1,1
97,1,0
98,1,0
99,0,1
100,0,1
101,1,0
102,0,1
103,1,1
104,0,0
105,0,0
106,1,0
107,1,1
108,1,0
109,1,0
110,1,1
111,0,0
112,0,1
113,0,0
114,0,0
115,1,0
116,0,0
117,0,1
118,1,0
119,1,1
120,1,1
121,0,1
122,1,1
123,1,0
124,1,1
125,0,1
126,1,1
127,0,1
128,1,0
129,1,1
130,0,0
131,0,0
132,1,0
133,0,0
134,1,0
135,1,0
136,1,0
137,1,0
138,0,0
139,1,1
140,1,1
141,1,1
142,1,1
143,1,0
144,1,0
145,1,1
146,1,1
147,1,1
148,1,0
149,0,0
150,1,0
151,0,0
152,1,1
153,1,1
154,1,1
155,0,1
156,1,1
157,0,0
158,1,0
159,0,0
160,0,1
161,0,1
162,1,1
163,0,1
164,1,1
165,0,1
166,0,0
167,0,1
168,0,0
169,1,0
170,0,1
171,1,0
172,0,1
173,0,0
174,0,0
175,0,0
176,1,1
177,0,1
178,0,0
179,1,1
180,1,1
181,1,1
182,0,0
183,0,1
184,0,0
185,1,1
186,1,1
187,1,1
188,1,1
189,0,1
190,1,0
191,0,1
192,1,1
193,0,1
194,0,0
195,0,0
196,1,1
197,0,1
198,1,1
199,1,0
200,1,1
201,1,1
202,1,0
203,0,0
204,1,1
205,1,0
206,1,1
207,0,1
208,0,1
209,1,0
210,0,1
211,1,1
212,0,0
213,0,1
214,1,0
215,0,0
216,1,1
217,0,1
218,1,0
219,1,0
220,1,0
221,0,1
222,0,0
223,0,0
224,0,1
225,1,1
226,1,0
227,1,1
228,0,0
229,0,0
230,0,0
231,1,1
232,0,0
233,0,1
234,0,0
235,1,1
236,0,1
237,1,1
238,0,0
239,0,0
240,0,1
241,0,0
242,1,0
243,0,0
244,1,0
245,1,0
246,1,1
247,0,0
248,1,1
249,1,1
250,1,1
251,0,1
252,0,1
253,1,0
254,0,0
255,1,1
256,1,0
257,1,1
258,0,0
259,0,1
260,1,1
261,1,0
262,0,0
263,0,1
264,1,0
265,1,1
266,0,1
267,1,1
268,0,0
269,0,0
270,0,1
271,0,0
272,0,1
273,0,1
274,1,1
275,1,1
276,1,0
277,1,1
278,1,1
279,1,0
280,0,1
281,0,0
282,1,1
283,1,0
284,1,0
285,0,0
286,0,0
287,1,0
288,1,1
289,0,0
290,1,1
291,1,1
292,0,1
293,1,1
294,1,1
295,1,1
296,1,1
297,1,0
298,1,1
299,0,1
300,1,1
301,0,1
302,1,1
303,1,0
304,1,0
305,0,1
306,0,0
307,1,0
308,1,1
