,true,pred
0,0,0
1,1,0
2,0,0
3,0,0
4,1,1
5,0,0
6,1,1
7,0,0
8,1,0
9,0,0
10,0,0
11,1,0
12,0,0
13,0,0
14,0,0
15,1,1
16,0,0
17,0,0
18,0,1
19,1,1
20,0,0
21,0,0
22,1,1
23,0,0
24,1,0
25,0,0
26,0,0
27,0,1
28,0,0
29,0,0
30,1,1
31,1,0
32,0,0
33,1,1
34,0,0
35,1,0
36,0,0
37,1,0
38,0,0
39,0,0
40,0,0
41,1,0
42,0,0
43,1,0
44,0,0
45,0,0
46,1,1
47,0,0
48,1,1
49,1,0
50,0,0
51,0,0
52,0,0
53,0,0
54,1,1
55,0,0
56,0,1
57,0,0
58,0,0
59,0,1
60,0,0
61,0,1
62,0,1
63,0,0
64,1,1
65,1,0
66,1,1
67,0,0
68,1,1
69,0,0
70,0,0
71,1,1
72,0,0
73,0,1
74,0,0
75,1,1
76,0,0
77,0,0
78,0,0
79,0,0
80,1,0
81,0,1
82,1,1
83,0,0
84,0,0
85,1,1
86,1,1
87,0,0
88,0,1
89,0,1
90,1,1
91,1,1
92,0,0
93,0,1
94,0,0
95,0,0
96,0,1
97,0,0
98,0,0
99,0,0
100,0,0
101,1,1
102,0,0
103,0,0
104,0,0
105,0,0
106,1,1
107,0,0
108,1,1
109,0,0
110,1,1
111,1,1
112,1,0
113,0,0
114,0,0
115,1,1
116,0,1
117,0,0
118,1,0
119,1,0
120,0,0
121,0,1
122,1,0
123,1,0
124,0,0
125,1,1
126,0,0
127,0,0
128,0,0
129,0,0
130,0,0
131,1,1
132,1,0
133,0,0
134,1,0
135,1,1
136,1,0
137,0,0
138,1,1
139,0,1
140,0,0
141,0,0
142,0,0
143,0,0
144,1,0
145,0,0
146,0,0
147,0,0
148,0,0
149,1,1
150,1,1
151,0,0
152,0,0
153,1,0
154,1,0
155,0,0
156,0,0
157,0,0
158,0,0
159,0,0
160,1,0
161,0,0
162,0,0
163,1,0
164,0,0
165,0,0
166,1,0
167,0,0
168,0,0
169,0,0
170,0,0
171,0,0
172,0,0
173,0,0
174,0,0
175,1,1
176,1,1
177,0,0
178,0,1
179,1,1
180,0,0
181,0,1
182,1,1
183,0,1
184,0,1
185,0,0
186,0,0
187,1,0
188,0,0
189,0,0
190,1,1
191,0,0
192,0,0
193,0,0
194,0,1
195,0,0
196,0,0
197,0,0
198,1,1
199,1,1
200,1,1
201,1,1
202,1,1
203,0,1
204,1,1
205,0,0
206,1,1
207,0,0
208,0,0
209,1,1
210,0,0
211,0,0
212,0,0
213,0,0
214,0,0
215,0,1
216,1,1
217,1,1
218,0,0
219,0,0
220,0,0
221,0,0
222,1,1
223,0,0
224,1,1
225,1,1
226,1,1
227,0,1
228,0,0
229,0,0
230,0,0
231,0,0
232,0,0
233,1,1
234,0,1
235,0,1
236,0,1
237,0,0
238,0,0
239,0,0
240,0,0
241,0,0
242,0,0
243,1,1
244,1,1
245,0,0
246,0,0
247,0,0
248,0,0
249,1,1
250,0,0
251,1,1
252,0,0
253,0,0
254,0,0
255,0,0
256,1,1
257,1,1
258,0,0
259,0,0
260,0,0
261,0,0
262,1,1
263,0,1
264,1,0
265,1,0
266,0,0
267,0,0
268,1,0
269,0,0
270,0,0
271,0,0
272,0,1
273,1,1
274,1,1
275,1,1
276,0,0
277,1,1
278,1,1
279,0,0
280,1,1
281,0,0
282,1,1
283,0,0
284,0,0
285,1,1
286,0,0
287,0,1
288,0,0
