,true,pred
0,0,0
1,1,1
2,0,1
3,1,1
4,1,1
5,0,0
6,0,0
7,1,1
8,1,0
9,0,0
10,0,0
11,1,1
12,0,0
13,1,1
14,1,1
15,1,1
16,1,1
17,0,1
18,0,1
19,0,0
20,0,0
21,1,0
22,1,1
23,0,0
24,0,0
25,0,0
26,0,0
27,1,1
28,0,0
29,1,0
30,1,0
31,1,1
32,0,0
33,1,0
34,1,1
35,0,0
36,0,1
37,1,1
38,1,1
39,0,0
40,0,0
41,0,1
42,0,1
43,1,1
44,1,1
45,0,0
46,0,0
47,1,1
48,1,1
49,1,1
50,0,0
51,1,1
52,0,0
53,1,0
54,0,1
55,0,0
56,0,0
57,0,0
58,1,0
59,0,0
60,1,1
61,0,0
62,1,1
63,1,0
64,1,1
65,1,1
66,1,1
67,0,0
68,1,1
69,0,0
70,1,1
71,0,0
72,1,1
73,1,1
74,0,0
75,0,0
76,1,1
77,0,0
78,1,0
79,0,0
80,1,0
81,1,0
82,0,0
83,1,1
84,1,0
85,0,1
86,0,0
87,0,0
88,0,1
89,1,1
90,0,0
91,0,0
92,1,1
93,0,1
94,1,1
95,1,1
96,1,1
97,1,0
98,0,0
99,0,0
100,0,0
101,0,0
102,1,0
103,0,0
104,1,0
105,1,0
106,1,1
107,0,0
